Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Week,CPI,LastCPI,Distance2
Reservoir,43 Barry St,3,h,685000,S,Love,16-07-2016,11.2,25,108.2,108.4,13.5
Southbank,24/105 Southbank Bvd,2,u,685000,S,hockingstuart,04-03-2017,1.2,58,109.4,108.6,2.1
St Kilda,10/69 Wellington St,2,u,685000,S,Greg,04-03-2017,6.1,58,109.4,108.6,7.4
Sunshine North,4 Isla St,3,h,685000,S,Barry,10-12-2016,13.3,46,109.4,108.6,13.6
Essendon West,479a Buckley St,3,h,685000,S,Nelson,15-10-2016,9.8,38,108.6,108.2,13.4
Kingsville,309 Geelong Rd,2,h,685000,SP,Village,17-09-2016,7.8,34,108.6,108.2,9.7
Keilor Park,2a Flinders St,3,h,685000,S,Nelson,26-07-2016,14.5,26,108.2,108.4,16.9
Hadfield,29 Sutherland St,3,h,685500,SP,Brad,03-09-2016,12.1,32,108.6,108.2,15.5
Burwood,1/109 Station St,3,u,686000,PI,Ray,04-03-2017,11.7,58,109.4,108.6,16.7
Elwood,5/15 Dickens St,2,u,686000,S,hockingstuart,16-04-2016,7.7,12,108.2,108.4,8.2
Heidelberg West,8 Blackwood Pde,2,h,686000,S,Nelson,08-10-2016,9.4,37,108.6,108.2,13.5
Reservoir,41 Acheron Av,2,h,686000,S,Barry,18-06-2016,11.2,21,108.2,108.4,15.3
Coburg,3/117 Gordon St,3,t,687000,S,Nelson,27-11-2016,7.8,44,108.6,108.2,9.6
Heidelberg West,38 Coomalie Cr,3,h,687000,S,William,24-09-2016,9.4,35,108.6,108.2,16.9
South Yarra,11/56 Darling St,1,u,687000,S,Kay,30-07-2016,3.3,27,108.2,108.4,4.6
Sunshine West,27 Davey St,3,h,687000,S,Sweeney,12-11-2016,13.5,42,108.6,108.2,15.2
Fawkner,73 Argyle St,3,h,687000,S,YPA,04-03-2017,12.4,58,109.4,108.6,14.1
Kingsbury,27 Keats Av,4,h,687000,SP,Ray,25-02-2017,12.4,57,109.4,108.6,15.9
Elwood,1/127 Glen Huntly Rd,2,u,687500,S,Marshall,27-06-2016,7.7,22,108.2,108.4,10
Glenroy,44 Widford St,3,h,688000,S,Stockdale,15-10-2016,13,38,108.6,108.2,14.3
Sunshine,82 Hertford Rd,2,h,688000,S,Douglas,16-07-2016,12.6,25,108.2,108.4,13
Bentleigh East,3/32 Elizabeth St,2,h,689000,S,hockingstuart,07-05-2016,13.9,15,108.2,108.4,23.2
Armadale,10/507 Dandenong Rd,2,u,690000,VB,Jellis,27-11-2016,6.3,44,108.6,108.2,10.4
Ascot Vale,1/60 The Parade,2,u,690000,S,Brad,22-05-2016,5.9,17,108.2,108.4,6.5
Ashwood,1/7 Murra Ct,2,u,690000,S,Ray,14-05-2016,12.2,16,108.2,108.4,16.3
Ashwood,2/21 Electra Av,2,t,690000,S,Buxton,16-04-2016,12.2,12,108.2,108.4,16.6
Footscray,5 Hartman Wk,2,t,690000,S,Jas,25-02-2017,6.4,57,109.4,108.6,8.5
Glen Iris,2/13 Estella St,2,u,690000,S,O'Donoghues,24-09-2016,9.2,35,108.6,108.2,12.5
Hawthorn,5/70 Power St,2,u,690000,S,Jellis,25-02-2017,4.6,57,109.4,108.6,8.4
Ivanhoe,5/19 Livingstone St,2,u,690000,S,Barry,15-10-2016,7.9,38,108.6,108.2,10.8
Keilor East,86 Prospect Dr,3,h,690000,S,Harcourts,08-10-2016,12.8,37,108.6,108.2,18.5
Maidstone,47 Radio St,4,h,690000,PI,Sweeney,18-06-2016,9.2,21,108.2,108.4,10.8
North Melbourne,3 Wilson Mw,2,h,690000,S,Rendina,24-09-2016,2.3,35,108.6,108.2,3.9
Oak Park,7 Pines Gr,4,h,690000,S,Brad,10-09-2016,11.5,33,108.6,108.2,12.4
Pascoe Vale,2 Longview St,3,h,690000,S,Brad,27-06-2016,9.9,22,108.2,108.4,12.1
Preston,7 Tiernan St,3,h,690000,S,Barry,14-05-2016,8.8,16,108.2,108.4,10.8
South Melbourne,72/1 Sandilands St,2,u,690000,VB,Cayzer,30-07-2016,2.1,27,108.2,108.4,3.8
Southbank,2005/39 Coventry St,2,u,690000,S,Greg,23-04-2016,1.2,13,108.2,108.4,3.4
Spotswood,4 Steel St,3,h,690000,S,Biggin,27-06-2016,7.7,22,108.2,108.4,11.2
St Kilda,10/45 Chapel St,2,u,690000,S,McGrath,04-03-2017,6.1,58,109.4,108.6,7.7
St Kilda,5/171 Fitzroy St,2,u,690000,VB,hockingstuart,12-06-2016,6.1,20,108.2,108.4,6.6
Sunshine North,22 Lincoln St,3,h,690000,S,hockingstuart,10-12-2016,13.3,46,109.4,108.6,13
Toorak,9/28 Power St,2,u,690000,S,Prowse,25-02-2017,4.6,57,109.4,108.6,10.1
Watsonia,2/21 High St,3,h,690000,S,Buckingham,06-08-2016,14.9,28,108.6,108.2,20.1
Fawkner,159 Jukes Rd,3,h,690000,PI,hockingstuart,10-12-2016,12.4,46,109.4,108.6,24
Heidelberg,3/10 Edgar St,2,t,690000,SP,Miles,25-02-2017,10.6,57,109.4,108.6,15.2
Kingsbury,36 Scott Gr,3,h,690000,S,Barry,27-11-2016,12.4,44,108.6,108.2,16.3
Murrumbeena,5/13 Toward St,2,t,690000,S,hockingstuart,04-06-2016,12.1,19,108.2,108.4,15.8
Oakleigh,1/1478 Dandenong Rd,3,u,690000,S,Buxton,15-10-2016,14,38,108.6,108.2,18
Canterbury,2/20 Margaret St,2,u,690500,SP,Fletchers,23-04-2016,9,13,108.2,108.4,12
Footscray,224 Ballarat Rd,2,h,690500,SP,Rendina,19-11-2016,6.4,43,108.6,108.2,8.3
Heidelberg West,138 Outhwaite Rd,3,h,690500,S,Ray,17-09-2016,9.4,34,108.6,108.2,14.1
Essendon,1/19 Cameron Rd,2,u,691000,SP,Brad,25-02-2017,8,57,109.4,108.6,9.5
Glenroy,6 Cosmos St,3,h,691000,S,Stockdale,10-09-2016,13,33,108.6,108.2,14.5
Hampton,5/46 Fewster Rd,2,u,691000,S,Buxton,25-02-2017,13.7,57,109.4,108.6,17
Heidelberg West,23 Redwood St,3,h,691000,S,Haughton,03-09-2016,9.4,32,108.6,108.2,13.4
Richmond,401/18 Tanner St,2,u,691000,S,Biggin,15-10-2016,2.6,38,108.6,108.2,3.5
Sunshine,8 Couch St,4,h,691000,S,Stockdale,16-07-2016,12.6,25,108.2,108.4,12.5
West Footscray,6 Fontein St,5,h,691000,PI,Biggin,18-06-2016,8.2,21,108.2,108.4,9.5
South Kingsville,7 Aloha St,3,t,691000,S,Hunter,13-08-2016,9.1,29,108.6,108.2,11.8
Balwyn North,2/3 Hatfield St,2,u,691500,S,Fletchers,30-07-2016,9.2,27,108.2,108.4,12.2
Brunswick,6/11 Merrifield St,3,u,691500,S,Walshe,28-08-2016,5.2,31,108.6,108.2,5.5
Fawkner,37 Pitt St,3,h,691500,S,hockingstuart,17-09-2016,12.4,34,108.6,108.2,15.5
Brighton East,3/127 Dendy St,2,u,692000,S,Buxton,26-07-2016,10.7,26,108.2,108.4,14.2
Fitzroy,502/69 Victoria St,2,u,692000,S,Nelson,07-05-2016,1.6,15,108.2,108.4,2.5
Melbourne,1018/422 Collins St,2,u,692000,S,Greg,22-05-2016,2.8,17,108.2,108.4,0.7
Northcote,2/195 Clarke St,2,u,692000,S,Harcourts,25-02-2017,5.5,57,109.4,108.6,6.8
South Melbourne,40a Napier St,2,u,692000,S,Greg,16-04-2016,2.1,12,108.2,108.4,3.7
Templestowe Lower,55 Chatsworth Qd,2,t,692000,S,Philip,11-02-2017,13.8,55,109.4,108.6,16
Murrumbeena,3/59 Poath Rd,2,h,692000,S,Gary,25-02-2017,12.1,57,109.4,108.6,18.8
Reservoir,17 Ramleh Rd,3,h,692500,S,Love,23-04-2016,11.2,13,108.2,108.4,15.6
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22-05-2016,11.1,17,108.2,108.4,14.5
Camberwell,2/564 Riversdale Rd,2,u,693000,S,Bekdon,16-07-2016,7.8,25,108.2,108.4,12.5
South Yarra,9/18 Kensington Rd,2,u,693000,S,Biggin,15-10-2016,3.3,38,108.6,108.2,6.9
Surrey Hills,2/59 Weybridge St,2,u,694000,S,Noel,28-08-2016,11.2,31,108.6,108.2,19
Avondale Heights,8 Moffat St,3,h,695000,S,HAR,23-04-2016,10.5,13,108.2,108.4,11.9
Glenroy,7 Isla Av,3,h,695000,S,Stockdale,15-10-2016,13,38,108.6,108.2,14
Hawthorn,18/508 Glenferrie Rd,2,u,695000,S,Jellis,26-07-2016,4.6,26,108.2,108.4,8.3
Keilor East,122 Prospect Dr,3,h,695000,S,Moonee,11-02-2017,12.8,55,109.4,108.6,18.5
Keilor East,35 Gungarlan Dr,3,h,695000,S,Barry,19-11-2016,12.8,43,108.6,108.2,16.8
Keilor East,171 Sterling Dr,3,h,695000,S,Barry,27-06-2016,12.8,22,108.2,108.4,18.9
Maidstone,4/27 Baird St,3,t,695000,SP,Sweeney,04-03-2017,9.2,58,109.4,108.6,10.5
Maidstone,45 Radio St,3,h,695000,S,Burnham,15-10-2016,9.2,38,108.6,108.2,10.8
Reservoir,69 Pallant Av,3,h,695000,S,Barry,10-09-2016,11.2,33,108.6,108.2,27.1
Richmond,12/200 Brighton St,2,u,695000,S,Jellis,10-09-2016,2.6,33,108.6,108.2,5.2
Rosanna,1/75 Ellesmere Pde,3,h,695000,S,Love,15-10-2016,11.4,38,108.6,108.2,17
South Yarra,7/32 Marne St,2,u,695000,PI,Kay,04-03-2017,3.3,58,109.4,108.6,5.1
St Kilda,10/1 The Esplanade,2,u,695000,SP,Biggin,03-12-2016,6.1,45,109.4,108.6,7.3
Sunshine,9 Una St,3,h,695000,S,Sweeney,22-08-2016,12.6,30,108.6,108.2,13.3
Glen Huntly,7/15 Manchester Gr,2,u,695000,S,Woodards,04-06-2016,10.4,19,108.2,108.4,13.6
Glen Huntly,2/143 Grange Rd,2,u,695000,S,hockingstuart,10-09-2016,10.4,33,108.6,108.2,14.5
Richmond,3/61 Stawell St,2,u,696000,S,Jellis,27-06-2016,2.6,22,108.2,108.4,4.9
Braybrook,14 Kenross Ct,3,h,697500,S,Sweeney,28-08-2016,10.8,31,108.6,108.2,12.5
St Kilda,1/60 Blessington St,2,u,697500,S,hockingstuart,07-11-2016,6.1,41,108.6,108.2,8
Footscray,216a Ballarat Rd,4,t,699000,VB,Raine,22-08-2016,6.4,30,108.6,108.2,8.3
Footscray,2/25 Stanlake St,3,t,699000,S,Jas,24-09-2016,6.4,35,108.6,108.2,8.9
Fairfield,103/57 Station St,2,u,699900,S,Barry,28-05-2016,5.8,18,108.2,108.4,7.8
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12-11-2016,2.5,42,108.6,108.2,4.3
Abbotsford,49/84 Trenerry Cr,2,h,700000,S,Biggin,23-04-2016,2.5,13,108.2,108.4,4.8
Airport West,1/80 Hawker St,3,t,700000,S,Brad,04-03-2017,13.5,58,109.4,108.6,15.4
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15-10-2016,13.5,38,108.6,108.2,15.3
Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,10-12-2016,11.1,46,109.4,108.6,15.9
Altona North,107 McIntosh Rd,3,h,700000,SP,Hunter,27-11-2016,11.1,44,108.6,108.2,15.8
Armadale,8/71 Denbigh Rd,2,u,700000,VB,Jellis,04-06-2016,6.3,19,108.2,108.4,9.9
Ashwood,1/7 Farmer St,2,t,700000,S,hockingstuart,07-11-2016,12.2,41,108.6,108.2,16.5
Ashwood,2/6 Murra Ct,2,u,700000,S,hockingstuart,22-08-2016,12.2,30,108.6,108.2,16.3
Balwyn,4/3 King St,3,h,700000,VB,Marshall,07-05-2016,9.7,15,108.2,108.4,13.8
Balwyn,4/4 Raynes St,2,t,700000,VB,Noel,13-08-2016,9.7,29,108.6,108.2,15.1
Bentleigh East,579 Warrigal Rd,3,h,700000,S,Thomson,22-05-2016,13.9,17,108.2,108.4,21.3
Bentleigh East,2/8 Rudyard St,3,t,700000,PI,hockingstuart,24-09-2016,13.9,35,108.6,108.2,21
Brighton,1/17 Tennyson St,2,u,700000,PI,RT,08-10-2016,11.2,37,108.6,108.2,14.3
Brighton East,5/29 Pine St,2,u,700000,PI,hockingstuart,03-12-2016,10.7,45,109.4,108.6,13.9
Camberwell,1/28 Nevis St,2,u,700000,S,Marshall,27-11-2016,7.8,44,108.6,108.2,13.4
Carnegie,12/250 Neerim Rd,2,t,700000,SP,Gary,07-11-2016,11.4,41,108.6,108.2,14.5
Chadstone,2/44 Railway Pde S,3,u,700000,S,Bekdon,04-06-2016,13.6,19,108.2,108.4,18.4
Coburg,37 Kelson St,3,h,700000,SP,Brad,25-02-2017,7.8,57,109.4,108.6,11
Coburg,265 Bell St,2,h,700000,VB,Nelson,28-05-2016,7.8,18,108.2,108.4,10.6
Coburg North,7 Manly Ct,3,h,700000,S,Nelson,07-05-2016,9.2,15,108.2,108.4,14.3
Doncaster,8/3 Carnarvon St,3,u,700000,PI,Barry,04-06-2016,13.9,19,108.2,108.4,17.2
Elsternwick,1/20 College St,2,u,700000,S,Biggin,07-11-2016,8.5,41,108.6,108.2,11.9
Fitzroy North,233/4 Bik La,2,u,700000,SP,Woodards,03-09-2016,3.5,32,108.6,108.2,4.1
Fitzroy North,129/4 Bik La,2,u,700000,SP,Collins,04-03-2017,3.5,58,109.4,108.6,4.1
Gowanbrae,3 Gowanbrae Dr,3,h,700000,SP,Nelson,16-04-2016,13.6,12,108.2,108.4,16.6
Hadfield,115 West St,4,h,700000,S,Barry,10-09-2016,12.1,33,108.6,108.2,14.7
Heidelberg Heights,542 Waterdale Rd,2,h,700000,VB,hockingstuart,10-12-2016,10.5,46,109.4,108.6,17.8
Ivanhoe,1/10 Oriel Rd,3,t,700000,S,Barry,27-06-2016,7.9,22,108.2,108.4,10.7
Keilor East,1 Giuliano Ct,3,h,700000,VB,Nelson,04-03-2017,12.8,58,109.4,108.6,18
Keilor East,83 Noga Av,3,h,700000,S,Nelson,18-06-2016,12.8,21,108.2,108.4,17.2
Keilor East,81 Quinn Gr,5,h,700000,PI,Nelson,22-05-2016,12.8,17,108.2,108.4,17.3
Kensington,25 Rogan La,2,t,700000,S,Village,19-11-2016,4.2,43,108.6,108.2,5
Kensington,66 Parsons St,2,t,700000,VB,Nelson,22-08-2016,4.2,30,108.6,108.2,4.3
Malvern,3/3 Irving St,2,u,700000,VB,Direct,27-11-2016,7.4,44,108.6,108.2,13.4
Maribyrnong,31 Hillsdale Av,3,h,700000,S,Nelson,08-10-2016,8.7,37,108.6,108.2,9.3
Melbourne,32/2 Exhibition St,1,u,700000,VB,Castran,19-11-2016,2.8,43,108.6,108.2,1.3
Middle Park,6/82 Patterson St,2,u,700000,SP,Greg,16-04-2016,4.1,12,108.2,108.4,5.8
Niddrie,2/50 Jackson St,3,u,700000,S,Nelson,18-06-2016,11.2,21,108.2,108.4,15.2
North Melbourne,3 Wilson Mw,2,t,700000,VB,W.B.,22-05-2016,2.3,17,108.2,108.4,3.9
Northcote,127a Separation St,2,t,700000,VB,Nelson,22-05-2016,5.5,17,108.2,108.4,8
Pascoe Vale,4 Raeburn St,3,h,700000,S,Nelson,27-06-2016,9.9,22,108.2,108.4,11
Prahran,8/67 High St,2,u,700000,S,hockingstuart,12-11-2016,4.5,42,108.6,108.2,6.4
Preston,176 Albert St,3,h,700000,S,hockingstuart,08-10-2016,8.8,37,108.6,108.2,13.1
Preston,13 Garnet St,2,h,700000,PI,Barry,16-04-2016,8.8,12,108.2,108.4,10
Reservoir,74 Lloyd Av,2,h,700000,S,Ray,15-10-2016,11.2,38,108.6,108.2,15.4
Reservoir,906 High St,3,h,700000,S,Nelson,24-09-2016,11.2,35,108.6,108.2,12.6
Southbank,85 Montague St,3,h,700000,VB,Cayzer,18-06-2016,1.2,21,108.2,108.4,3.2
St Kilda,2/79 Barkly St,2,u,700000,S,Whiting,28-05-2016,6.1,18,108.2,108.4,7
Sunshine,51 Ardoyne St,4,h,700000,PI,Douglas,06-08-2016,12.6,28,108.6,108.2,13.2
Sunshine,18 Barnett St,3,h,700000,SP,Bells,22-05-2016,12.6,17,108.2,108.4,12.6
Sunshine,14 Baker St,4,h,700000,PI,Douglas,30-07-2016,12.6,27,108.2,108.4,12.7
Sunshine North,5 Braim St,3,h,700000,S,Barry,18-06-2016,13.3,21,108.2,108.4,13.9
Sunshine North,23 Baynton Av,3,h,700000,PI,Sweeney,27-11-2016,13.3,44,108.6,108.2,22.3
Thornbury,19 Hobson St,2,h,700000,PI,McGrath,07-11-2016,6.5,41,108.6,108.2,8.4
Yallambie,11 Tarcoola Dr,4,h,700000,S,Barry,03-09-2016,15,32,108.6,108.2,19.8
East Melbourne,1/187 George St,2,u,700000,PI,Harcourts,22-08-2016,1.5,30,108.6,108.2,2.7
Fawkner,19 Stanford Cl,4,h,700500,S,Stockdale,26-07-2016,12.4,26,108.2,108.4,23.7
Northcote,338 Separation St,2,t,701000,SP,Nelson,17-09-2016,5.5,34,108.6,108.2,8.5
Seddon,278 Nicholson St,2,h,701000,PI,Village,30-07-2016,6.6,27,108.2,108.4,6.9
Sunshine,15 Hampshire Rd,3,h,701000,S,Barry,16-07-2016,12.6,25,108.2,108.4,12.7
Sunshine North,10 Gresford St,3,h,701000,S,Douglas,04-03-2017,13.3,58,109.4,108.6,14.3
Thornbury,220a Mansfield St,3,h,701000,S,Stockdale,13-08-2016,6.5,29,108.6,108.2,10.1
Watsonia,28 Papua St,2,h,701000,S,Barry,28-05-2016,14.9,18,108.2,108.4,19.8
Hawthorn East,3/842 Toorak Rd,2,u,701000,S,Jellis,28-05-2016,7.5,18,108.2,108.4,10.1
Toorak,7/3 Tahara Rd,2,u,701500,S,Kay,04-06-2016,4.6,19,108.2,108.4,7.4
Bentleigh East,12 Tambet St,2,h,702000,PI,Buxton,13-08-2016,13.9,29,108.6,108.2,21.1
Burwood,3/124 Highbury Rd,3,t,702000,S,Barry,28-08-2016,11.7,31,108.6,108.2,15.7
Carnegie,3/9 Madden Av,2,u,702000,S,Gary,18-06-2016,11.4,21,108.2,108.4,14.9
Glenroy,6 Dromana St,4,h,702000,S,Eview,10-12-2016,13,46,109.4,108.6,13.4
Middle Park,8/49 Patterson St,2,u,702000,SP,Marshall,18-06-2016,4.1,21,108.2,108.4,5.7
Sunshine,17 Hampshire Rd,3,h,702000,S,Douglas,10-09-2016,12.6,33,108.6,108.2,12.7
Sunshine,11 Taunton St,2,h,702000,SP,FN,27-11-2016,12.6,44,108.6,108.2,13.2
Watsonia,4 Papua St,3,h,702000,S,Buckingham,24-09-2016,14.9,35,108.6,108.2,20.1
Essendon,3/10 Kendall St,2,u,702500,S,Nelson,04-03-2017,8,58,109.4,108.6,9.1
Glenroy,10 Anselm Gr,3,h,703000,S,Eview,17-09-2016,13,34,108.6,108.2,13.8
Keilor East,16 Border Dr,3,h,703000,S,Nelson,03-09-2016,12.8,32,108.6,108.2,17.1
Reservoir,12 Borrie St,3,h,703000,S,Nelson,18-06-2016,11.2,21,108.2,108.4,14.6
Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19-11-2016,6.3,43,108.6,108.2,9.9
Altona,1A Merritt Ct,3,t,705000,S,hockingstuart,11-02-2017,13.8,55,109.4,108.6,21
Altona North,21 Joel Av,3,h,705000,SP,Village,07-05-2016,11.1,15,108.2,108.4,15.2
Ascot Vale,2/225 Maribyrnong Rd,2,t,705000,S,Brad,18-06-2016,5.9,21,108.2,108.4,7.3
Ascot Vale,17 Ascot St,2,h,705000,PI,Nelson,27-06-2016,5.9,22,108.2,108.4,5.9
Avondale Heights,8 Herbert St,3,h,705000,S,Nelson,22-05-2016,10.5,17,108.2,108.4,12
Brunswick,35 Percy St,2,h,705000,S,Chambers,23-04-2016,5.2,13,108.2,108.4,6.3
Brunswick,11 William St,3,t,705000,PI,Nelson,27-06-2016,5.2,22,108.2,108.4,6.1
Chadstone,1/32 Kelly St,2,h,705000,S,Buxton,24-09-2016,13.6,35,108.6,108.2,17.2
Glenroy,55 Fran St,5,h,705000,PI,Barry,17-09-2016,13,34,108.6,108.2,14.8
Heidelberg West,296 Oriel Rd,2,h,705000,S,Miles,27-11-2016,9.4,44,108.6,108.2,14.4
Ivanhoe,4/13 Ivanhoe Pde,2,u,705000,S,Miles,10-12-2016,7.9,46,109.4,108.6,10.9
Keilor East,1/31 Surrey Dr,3,t,705000,S,Barry,16-04-2016,12.8,12,108.2,108.4,18.4
Keilor East,26 Norwood Dr,3,h,705000,S,Nelson,28-05-2016,12.8,18,108.2,108.4,18.3
Melbourne,96/632 St Kilda Rd,3,u,705000,SP,hockingstuart,30-07-2016,2.8,27,108.2,108.4,6.2
Reservoir,29 Lane Cr,3,h,705000,S,Love,17-09-2016,11.2,34,108.6,108.2,15.7
Reservoir,27 Ashton St,3,h,705000,S,Barry,30-07-2016,11.2,27,108.2,108.4,14.1
Reservoir,46 Bourke St,3,h,705000,S,Ray,30-07-2016,11.2,27,108.2,108.4,10.9
Sunshine North,5 Charles St,4,h,705000,S,Douglas,25-02-2017,13.3,57,109.4,108.6,13.7
Sunshine West,22 Bambara Ct,4,h,705000,S,Douglas,27-11-2016,13.5,44,108.6,108.2,13.9
Toorak,16/14 Lansell Rd,2,u,705000,S,RT,18-06-2016,4.6,21,108.2,108.4,7.4
Yarraville,3/1 Jepson St,2,t,705000,SP,Sweeney,16-04-2016,7,12,108.2,108.4,10.4
Carlton,8/220 Elgin St,2,u,705000,S,Harrington,12-11-2016,1.8,42,108.6,108.2,2.3
Heidelberg,4/51 Yarra St,2,t,705000,S,Miles,06-08-2016,10.6,28,108.6,108.2,14.4
West Footscray,2a Hope St,2,h,705000,S,Jas,22-05-2016,8.2,17,108.2,108.4,10.6
Kingsbury,33 Clunes St,2,h,705500,S,ASL,30-07-2016,12.4,27,108.2,108.4,16.5
Camberwell,4/26 Cornell St,2,h,706000,S,Fletchers,28-08-2016,7.8,31,108.6,108.2,14.5
Oak Park,44 Devereaux St,3,h,706000,PI,Eview,07-11-2016,11.5,41,108.6,108.2,13.1
Watsonia,18 Temby St,4,h,706000,S,Ray,12-11-2016,14.9,42,108.6,108.2,20.5
Yarraville,25 Gray St,4,h,706000,S,Jas,04-06-2016,7,19,108.2,108.4,8
Hawthorn East,4/43 Clifton Rd,2,u,706000,S,hockingstuart,22-08-2016,7.5,30,108.6,108.2,10.6
Heidelberg Heights,6/34 Bonar St,3,t,706750,S,Nelson,11-02-2017,10.5,55,109.4,108.6,16.8
Carnegie,2/25 El Nido Gr,2,t,707000,SA,Ray,13-08-2016,11.4,29,108.6,108.2,14.6
Coburg North,25 Williams Rd,3,h,707000,S,Brad,13-08-2016,9.2,29,108.6,108.2,12.4
Kew,3/99 Earl St,2,t,707500,S,Jellis,26-07-2016,5.6,26,108.2,108.4,8
Malvern East,3/2 Kardella St,3,u,707500,S,hockingstuart,18-06-2016,11.2,21,108.2,108.4,12.5
Reservoir,11 Keilor Av,3,h,707500,S,Ray,25-02-2017,11.2,57,109.4,108.6,15.1
Altona North,11 Beevers St,3,h,708000,S,Greg,15-10-2016,11.1,38,108.6,108.2,13.6
Balwyn North,1/39 Trentwood Av,2,u,709000,S,Jellis,08-10-2016,9.2,37,108.6,108.2,16.1
Gowanbrae,8 Perth Ct,4,h,709000,PI,Nelson,14-05-2016,13.6,16,108.2,108.4,17.9
West Footscray,135 Suffolk St,3,h,709000,S,Jas,22-05-2016,8.2,17,108.2,108.4,11.2
Altona North,5 Binns St,3,h,710000,PI,Village,07-11-2016,11.1,41,108.6,108.2,15.9
Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25-02-2017,6.3,57,109.4,108.6,9.9
Ascot Vale,8 Geddes St,2,h,710000,PI,Nelson,04-06-2016,5.9,19,108.2,108.4,6.8
Avondale Heights,18 Langham St,3,h,710000,SP,Moonee,22-05-2016,10.5,17,108.2,108.4,12
Bentleigh,2/523 South Rd,3,t,710000,PI,hockingstuart,04-03-2017,13,58,109.4,108.6,16.9
Bentleigh East,1/811 Centre Rd,2,h,710000,S,Buxton,27-11-2016,13.9,44,108.6,108.2,22.4
Fitzroy,9/56 Leicester St,2,t,710000,S,Jellis,27-06-2016,1.6,22,108.2,108.4,2.9
Glen Iris,1/146 Glen Iris Rd,2,u,710000,VB,Jellis,12-11-2016,9.2,42,108.6,108.2,12.8
Glenroy,128 Widford St,3,h,710000,S,Stockdale,19-11-2016,13,43,108.6,108.2,15
Hawthorn,216/6 Lisson Gr,2,u,710000,S,Jellis,28-08-2016,4.6,31,108.6,108.2,7.6
Heidelberg West,21 Pacific Dr,3,h,710000,S,William,10-12-2016,9.4,46,109.4,108.6,14.2
Heidelberg West,190 Southern Rd,3,h,710000,S,Haughton,27-11-2016,9.4,44,108.6,108.2,18
Ivanhoe,2/92 Beatty St,2,t,710000,PI,Nelson,28-08-2016,7.9,31,108.6,108.2,11.9
Keilor East,2/6 Shelley St,3,t,710000,SP,Nelson,28-08-2016,12.8,31,108.6,108.2,17.1
Malvern,203/1 Norfolk Pl,2,u,710000,VB,Jellis,15-10-2016,7.4,38,108.6,108.2,10.6
Newport,70 Market St,4,h,710000,S,Greg,04-06-2016,8.4,19,108.2,108.4,12.8
Niddrie,45 Vaynor St,3,h,710000,S,Nelson,12-11-2016,11.2,42,108.6,108.2,16.6
Oakleigh South,1/30 Mimosa Av,3,u,710000,SP,Buxton,17-09-2016,14.7,34,108.6,108.2,20.3
Prahran,203/11 Hillingdon Pl,3,u,710000,S,Edward,04-06-2016,4.5,19,108.2,108.4,7
Reservoir,8 Rosenthal Cr,3,h,710000,S,hockingstuart,15-10-2016,11.2,38,108.6,108.2,14.9
Rosanna,3/25 Ellesmere Pde,3,t,710000,S,Buckingham,30-07-2016,11.4,27,108.2,108.4,16.6
Sunshine,18 Tyler St,2,h,710000,S,Barry,03-12-2016,12.6,45,109.4,108.6,13.1
Sunshine,1 Markstone Ct,2,h,710000,S,S&L,04-03-2017,12.6,58,109.4,108.6,13.2
Sunshine North,49 Northumberland Rd,3,h,710000,S,GL,22-08-2016,13.3,30,108.6,108.2,13.4
Yallambie,4 Aminya Cr,3,h,710000,PI,Nelson,10-12-2016,15,46,109.4,108.6,19.3
Yallambie,5 Crew St,3,h,710000,S,Miles,19-11-2016,15,43,108.6,108.2,17.8
Yallambie,33 Fahey Cr,3,h,710000,S,Fletchers,27-11-2016,15,44,108.6,108.2,17.9
Yarraville,13 Pearce St,2,h,710000,S,Chisholm,04-03-2017,7,58,109.4,108.6,10.9
West Footscray,29 Devonshire St,4,h,710000,PI,Sweeney,04-03-2017,8.2,58,109.4,108.6,11.3
Glen Huntly,22/89 Neerim Rd,2,t,710000,S,Buxton,25-02-2017,10.4,57,109.4,108.6,13.4
Brunswick West,201 Hope St,2,h,711000,S,Nelson,16-04-2016,5.9,12,108.2,108.4,9.3
Essendon,3/12 Morton St,2,h,711000,S,Nelson,08-10-2016,8,37,108.6,108.2,10.3
Footscray,167 Gordon St,2,h,711000,SP,Jas,18-06-2016,6.4,21,108.2,108.4,8.2
Keilor East,2/31 Wingara Av,3,u,711000,S,Moonee,22-05-2016,12.8,17,108.2,108.4,16.8
Maidstone,19 Norfolk St,2,h,711000,S,Jas,03-12-2016,9.2,45,109.4,108.6,9
Sunshine,22 Lynch St,3,h,711000,S,Douglas,28-08-2016,12.6,31,108.6,108.2,13.9
Surrey Hills,1/130 Windsor Cr,2,t,711000,S,Noel,08-10-2016,11.2,37,108.6,108.2,20
Watsonia,4 Ananda Ct,3,h,711000,S,Barry,14-05-2016,14.9,16,108.2,108.4,20.5
Glenroy,24 Trevannion St,3,h,711500,S,Stockdale,10-12-2016,13,46,109.4,108.6,14.1
